# JLPT N3 Vocabulary — Pipeline source file
# Format: word,reading,level
# Lines starting with # are ignored
# ===== Wave 1: Problem Solving / Research =====
解決,かいけつ,N3
原因,げんいん,N3
結果,けっか,N3
影響,えいきょう,N3
変化,へんか,N3
発展,はってん,N3
研究,けんきゅう,N3
調査,ちょうさ,N3
報告,ほうこく,N3
議論,ぎろん,N3
提案,ていあん,N3
実施,じっし,N3
実現,じつげん,N3
目標,もくひょう,N3
達成,たっせい,N3
向上,こうじょう,N3
対策,たいさく,N3
# ===== Wave 1: Description / Characteristics =====
状況,じょうきょう,N3
重要,じゅうよう,N3
可能,かのう,N3
正確,せいかく,N3
明確,めいかく,N3
確実,かくじつ,N3
具体的,ぐたいてき,N3
一般的,いっぱんてき,N3
特徴,とくちょう,N3
様々,さまざま,N3
# ===== Wave 1: Comparison / Analysis =====
比較,ひかく,N3
分析,ぶんせき,N3
判断,はんだん,N3
表現,ひょうげん,N3
場面,ばめん,N3
# ===== Wave 1: Emotion / Feeling =====
感動,かんどう,N3
怒り,いかり,N3
悲しみ,かなしみ,N3
期待,きたい,N3
失望,しつぼう,N3
誤解,ごかい,N3
記憶,きおく,N3
# ===== Wave 1: Social / Interpersonal =====
信頼,しんらい,N3
尊重,そんちょう,N3
批判,ひはん,N3
賛成,さんせい,N3
主張,しゅちょう,N3
証明,しょうめい,N3
観察,かんさつ,N3
実験,じっけん,N3

# ===== Wave 2: Business / Organization =====,,
企業,きぎょう,N3
業界,ぎょうかい,N3
契約,けいやく,N3
収入,しゅうにゅう,N3
利益,りえき,N3
損害,そんがい,N3
申請,しんせい,N3
許可,きょか,N3
承認,しょうにん,N3
否定,ひてい,N3
肯定,こうてい,N3
# ===== Wave 2: Society / Environment =====,,
世代,せだい,N3
地域,ちいき,N3
環境,かんきょう,N3
資源,しげん,N3
消費,しょうひ,N3
生産,せいさん,N3
輸出,ゆしゅつ,N3
輸入,ゆにゅう,N3
貿易,ぼうえき,N3
政策,せいさく,N3
制度,せいど,N3
規制,きせい,N3
条件,じょうけん,N3
基準,きじゅん,N3
# ===== Wave 2: Academic / Research =====,,
論文,ろんぶん,N3
資料,しりょう,N3
技能,ぎのう,N3
才能,さいのう,N3
学習,がくしゅう,N3
# ===== Wave 2: Time / Process / Reason =====,,
期間,きかん,N3
過程,かてい,N3
手順,てじゅん,N3
段階,だんかい,N3
手段,しゅだん,N3
方針,ほうしん,N3
課題,かだい,N3
根拠,こんきょ,N3
前提,ぜんてい,N3
事実,じじつ,N3
# ===== Wave 2: Tendency / Attitude =====,,
傾向,けいこう,N3
姿勢,しせい,N3
意図,いと,N3
認識,にんしき,N3
指摘,してき,N3
検討,けんとう,N3

# ===== Wave 3: Theatre / Drama =====,,
劇場,げきじょう,N3
劇的,げきてき,N3
芸術家,げいじゅつか,N3
芸能人,げいのうじん,N3
# ===== Wave 3: Intensity / Emotion =====,,
激励,げきれい,N3
激増,げきぞう,N3
激減,げきげん,N3
激怒,げきど,N3
激情,げきじょう,N3
# ===== Wave 3: Absence / Deficiency =====,,
欠席,けっせき,N3
欠点,けってん,N3
欠如,けつじょ,N3
欠乏,けつぼう,N3
# ===== Wave 3: Decision / Determination =====,,
決意,けつい,N3
決心,けっしん,N3
決断,けつだん,N3
決定,けってい,N3
決定的,けっていてき,N3
# ===== Wave 3: Result / Unity =====,,
結構,けっこう,N3
結束,けっそく,N3
結末,けつまつ,N3
結晶,けっしょう,N3
# ===== Wave 3: Character / Purity =====,,
潔白,けっぱく,N3
# ===== Wave 3: Industry / Product =====,,
産業,さんぎょう,N3
産地,さんち,N3
産物,さんぶつ,N3
産休,さんきゅう,N3
# ===== Wave 3: Nature / Other =====,,
散策,さんさく,N3
散文,さんぶん,N3
珊瑚,さんご,N3
山脈,さんみゃく,N3
隙間,すきま,N3
惨め,みじめ,N3
賛同,さんどう,N3
血液型,けつえきがた,N3

# ===== Wave 4: Novel / Temporary =====,,
斬新,ざんしん,N3
暫定,ざんてい,N3
# ===== Wave 4: Cruelty / Remnant =====,,
残骸,ざんがい,N3
残虐,ざんぎゃく,N3
残酷,ざんこく,N3
残留,ざんりゅう,N3
残念ながら,ざんねんながら,N3
# ===== Wave 4: Chemistry =====,,
酸素,さんそ,N3
酸性,さんせい,N3
酸性雨,さんせいう,N3
# ===== Wave 4: Opinion / Praise =====,,
賛否両論,さんぴりょうろん,N3
賛美,さんび,N3
# ===== Wave 4: Work / Action =====,,
仕草,しぐさ,N3
仕返し,しかえし,N3
仕入れ,しいれ,N3
使命,しめい,N3
使節,しせつ,N3
# ===== Wave 4: Upper / Superior =====,,
上等,じょうとう,N3
上辺,うわべ,N3
上役,うわやく,N3
上流,じょうりゅう,N3
上陸,じょうりく,N3
上半身,じょうはんしん,N3
# ===== Wave 4: Boarding / Movement =====,,
乗り気,のりき,N3
乗り込む,のりこむ,N3
乗り出す,のりだす,N3
乗り越す,のりこす,N3
乗り継ぐ,のりつぐ,N3

# ===== Wave 5: Joke / Verbose =====,,
冗談,じょうだん,N3
冗長,じょうちょう,N3
# ===== Wave 5: Castle =====,,
城,しろ,N3
城下町,じょうかまち,N3
城壁,じょうへき,N3
# ===== Wave 5: Place / Occasion =====,,
場違い,ばちがい,N3
場内,じょうない,N3
# ===== Wave 5: Habit / Permanent =====,,
常時,じょうじ,N3
常習,じょうしゅう,N3
常設,じょうせつ,N3
